Player,REC,TGT,REC PCT,YDS,Y/R,TD,TGT PCT,ATT,YDS.1,TD.1,PCT,FL,G,POS
Tre Tucker (LV),3.0,4.0,75.0%,20.0,6.7,1.0,7.5%,1.0,4.0,0.0,25.0%,0.0,16.0,WR
Wan'Dale Robinson (NYG),3.0,3.0,100.0%,17.0,5.7,1.0,13.6%,1.0,7.0,0.0,100.0%,0.0,15.0,WR
Brandon Powell (MIN),4.0,6.0,66.7%,23.0,5.8,1.0,12.8%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Robert Woods (HOU),3.0,11.0,27.3%,23.0,7.7,1.0,23.4%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Darnell Mooney (ATL),2.0,8.0,25.0%,19.0,9.5,1.0,32.0%,1.0,3.0,0.0,50.0%,0.0,15.0,WR
Alex Erickson (FA),2.0,2.0,100.0%,22.0,11.0,1.0,5.0%,0.0,0.0,0.0,0.0%,0.0,8.0,WR
Khalil Shakir (BUF),2.0,2.0,100.0%,12.0,6.0,1.0,5.9%,1.0,10.0,0.0,33.3%,0.0,17.0,WR
Allen Lazard (NYJ),2.0,4.0,50.0%,21.0,10.5,1.0,11.4%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Michael Thomas (FA),2.0,9.0,22.2%,21.0,10.5,1.0,28.1%,0.0,0.0,0.0,0%,0.0,10.0,WR
Ben Skowronek (HOU),1.0,3.0,33.3%,20.0,20.0,1.0,6.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Skyy Moore (KC),3.0,7.0,42.9%,20.0,6.7,1.0,14.9%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Chase Claypool (BUF),1.0,2.0,50.0%,20.0,20.0,1.0,4.4%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Jauan Jennings (SF),1.0,2.0,50.0%,18.0,18.0,1.0,6.1%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Bo Melton (GB),2.0,3.0,66.7%,16.0,8.0,1.0,4.8%,0.0,0.0,0.0,0.0%,0.0,4.0,WR
A.T. Perry (NO),1.0,2.0,50.0%,15.0,15.0,1.0,6.3%,0.0,0.0,0.0,0%,0.0,10.0,WR
Michael Gallup (FA),3.0,5.0,60.0%,14.0,4.7,1.0,10.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
D.J. Montgomery (IND),1.0,2.0,50.0%,14.0,14.0,1.0,5.3%,0.0,0.0,0.0,0%,0.0,7.0,WR
JuJu Smith-Schuster (NE),2.0,3.0,66.7%,14.0,7.0,1.0,16.7%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Greg Dortch (ARI),2.0,3.0,66.7%,11.0,5.5,1.0,12.0%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Noah Brown (HOU),2.0,7.0,28.6%,12.0,6.0,1.0,14.9%,1.0,-1.0,0.0,16.7%,0.0,10.0,WR
Rashod Bateman (BAL),1.0,3.0,33.3%,10.0,10.0,1.0,8.1%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Lawrence Cager (NYG),1.0,2.0,50.0%,10.0,10.0,1.0,9.1%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
Simi Fehoko (LAC),1.0,1.0,100.0%,9.0,9.0,1.0,2.5%,0.0,0.0,0.0,0.0%,0.0,5.0,WR
Jason Brownlee (NYJ),1.0,2.0,50.0%,8.0,8.0,1.0,5.7%,0.0,0.0,0.0,0.0%,0.0,7.0,WR
Calvin Austin III (PIT),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,7.0,1.0,100.0%,0.0,17.0,WR
Keith Kirkwood (BAL),1.0,3.0,33.3%,7.0,7.0,1.0,9.4%,0.0,0.0,0.0,0%,0.0,13.0,WR
Malik Heath (GB),1.0,4.0,25.0%,6.0,6.0,1.0,6.5%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Sterling Shepard (TB),2.0,6.0,33.3%,6.0,3.0,1.0,27.3%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Jalen Tolbert (DAL),2.0,3.0,66.7%,5.0,2.5,1.0,6.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
River Cracraft (MIA),2.0,4.0,50.0%,4.0,2.0,1.0,8.9%,0.0,0.0,0.0,0.0%,0.0,10.0,WR
Deonte Harty (BAL),3.0,3.0,100.0%,6.0,2.0,1.0,8.8%,1.0,-3.0,0.0,33.3%,0.0,16.0,WR
Kadarius Toney (KC),3.0,5.0,60.0%,6.0,2.0,1.0,10.6%,5.0,-5.0,0.0,100.0%,0.0,13.0,WR
Trenton Irwin (CIN),5.0,7.0,71.4%,23.0,4.6,0.0,13.5%,0.0,0.0,0.0,0%,0.0,16.0,WR
Marvin Mims Jr. (DEN),1.0,1.0,100.0%,4.0,4.0,0.0,2.6%,2.0,19.0,0.0,100.0%,0.0,16.0,WR
Kalif Raymond (DET),3.0,4.0,75.0%,25.0,8.3,0.0,8.9%,1.0,-2.0,0.0,33.3%,0.0,17.0,WR
Cedric Tillman (CLE),2.0,7.0,28.6%,21.0,10.5,0.0,18.9%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
Laviska Shenault Jr. (SEA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,4.0,18.0,0.0,57.1%,0.0,8.0,WR
Marquise Goodwin (FA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,17.0,0.0,50.0%,0.0,12.0,WR
Tyler Scott (CHI),3.0,5.0,60.0%,16.0,5.3,0.0,20.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
George Pickens (PIT),3.0,8.0,37.5%,16.0,5.3,0.0,36.4%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Dontayvion Wicks (GB),2.0,6.0,33.3%,14.0,7.0,0.0,9.7%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Jamal Agnew (FA),1.0,2.0,50.0%,14.0,14.0,0.0,4.3%,2.0,-2.0,0.0,66.7%,0.0,11.0,WR
Marquez Valdes-Scantling (BUF),2.0,5.0,40.0%,11.0,5.5,0.0,10.6%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Erik Ezukanma (MIA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,2.0,11.0,0.0,66.7%,0.0,2.0,WR
Darius Slayton (NYG),1.0,2.0,50.0%,9.0,9.0,0.0,9.1%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Terrace Marshall Jr. (CAR),1.0,3.0,33.3%,9.0,9.0,0.0,11.1%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
Trent Sherfield Sr. (MIN),1.0,2.0,50.0%,9.0,9.0,0.0,5.9%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Xavier Hutchinson (HOU),1.0,1.0,100.0%,0.0,0.0,0.0,2.1%,2.0,8.0,0.0,33.3%,0.0,15.0,WR
Ray-Ray McCloud III (ATL),1.0,1.0,100.0%,8.0,8.0,0.0,3.0%,0.0,0.0,0.0,0.0%,0.0,12.0,WR
Mack Hollins (BUF),1.0,2.0,50.0%,7.0,7.0,0.0,10.5%,0.0,0.0,0.0,0.0%,0.0,13.0,WR
Joshua Palmer (LAC),2.0,7.0,28.6%,7.0,3.5,0.0,17.5%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Mecole Hardman Jr. (KC),1.0,2.0,50.0%,6.0,6.0,0.0,5.7%,0.0,0.0,0.0,0.0%,0.0,10.0,WR
Rondale Moore (ATL),2.0,3.0,66.7%,7.0,3.5,0.0,12.0%,1.0,-1.0,0.0,100.0%,0.0,17.0,WR
Chris Moore (ARI),1.0,1.0,100.0%,6.0,6.0,0.0,3.8%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Parris Campbell (PHI),2.0,4.0,50.0%,5.0,2.5,0.0,18.2%,0.0,0.0,0.0,0.0%,0.0,12.0,WR
Willie Snead IV (FA),1.0,1.0,100.0%,5.0,5.0,0.0,3.0%,0.0,0.0,0.0,0.0%,0.0,4.0,WR
DeMario Douglas (NE),2.0,4.0,50.0%,5.0,2.5,0.0,22.2%,0.0,0.0,0.0,0.0%,0.0,14.0,WR
John Metchie III (HOU),0.0,4.0,0.0%,0.0,0.0,0.0,8.5%,1.0,4.0,0.0,16.7%,0.0,16.0,WR
Quez Watkins (PIT),2.0,2.0,100.0%,4.0,2.0,0.0,6.3%,0.0,0.0,0.0,0%,0.0,9.0,WR
Richie James Jr. (FA),1.0,1.0,100.0%,4.0,4.0,0.0,2.1%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
DeAndre Carter (CHI),0.0,1.0,0.0%,0.0,0.0,0.0,1.9%,1.0,3.0,0.0,25.0%,0.0,17.0,WR
Hunter Renfrow (FA),5.0,5.0,100.0%,23.0,4.6,0.0,9.4%,0.0,0.0,0.0,0.0%,1.0,17.0,WR
Tyquan Thornton (NE),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,3.0,0.0,100.0%,0.0,9.0,WR
Devin Duvernay (JAC),1.0,1.0,100.0%,3.0,3.0,0.0,2.7%,1.0,0.0,0.0,33.3%,0.0,13.0,WR
Trishton Jackson (MIN),0.0,2.0,0.0%,0.0,0.0,0.0,4.3%,0.0,0.0,0.0,0.0%,0.0,6.0,WR
Keelan Doss (FA),0.0,1.0,0.0%,0.0,0.0,0.0,2.5%,0.0,0.0,0.0,0.0%,0.0,5.0,WR
Elijah Cooks (JAC),0.0,1.0,0.0%,0.0,0.0,0.0,2.2%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
Antoine Green (DET),0.0,1.0,0.0%,0.0,0.0,0.0,2.2%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
Byron Pringle (FA),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Miles Boykin (NYG),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0%,0.0,16.0,WR
Olamide Zaccheaus (WAS),0.0,2.0,0.0%,0.0,0.0,0.0,6.3%,0.0,0.0,0.0,0%,0.0,17.0,WR
Derius Davis (LAC),1.0,1.0,100.0%,-3.0,-3.0,0.0,2.5%,2.0,3.0,0.0,66.7%,0.0,17.0,WR
Jalen Reagor (NE),0.0,1.0,0.0%,0.0,0.0,0.0,5.6%,0.0,0.0,0.0,0.0%,0.0,11.0,WR
Donovan Peoples-Jones (DET),0.0,1.0,0.0%,0.0,0.0,0.0,2.2%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Tim Jones (JAC),0.0,0.0,0%,0.0,0.0,0.0,0.0%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Jamison Crowder (WAS),0.0,1.0,0.0%,0.0,0.0,0.0,2.6%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Kayshon Boutte (NE),0.0,2.0,0.0%,0.0,0.0,0.0,11.1%,0.0,0.0,0.0,0.0%,0.0,5.0,WR
David Bell (CLE),0.0,2.0,0.0%,0.0,0.0,0.0,5.4%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Mike Williams (NYJ),0.0,2.0,0.0%,0.0,0.0,0.0,5.0%,0.0,0.0,0.0,0.0%,0.0,3.0,WR
Alec Pierce (IND),0.0,6.0,0.0%,0.0,0.0,0.0,15.8%,0.0,0.0,0.0,0%,0.0,17.0,WR
Jonathan Mingo (CAR),0.0,3.0,0.0%,0.0,0.0,0.0,11.1%,0.0,0.0,0.0,0.0%,0.0,15.0,WR
Kyle Philips (TEN),0.0,1.0,0.0%,0.0,0.0,0.0,3.8%,0.0,0.0,0.0,0.0%,0.0,9.0,WR
David Moore (CAR),0.0,1.0,0.0%,0.0,0.0,0.0,2.6%,0.0,0.0,0.0,0.0%,0.0,7.0,WR
Dyami Brown (WAS),1.0,2.0,50.0%,0.0,0.0,0.0,5.1%,0.0,0.0,0.0,0.0%,0.0,17.0,WR
Justyn Ross (KC),0.0,1.0,0.0%,0.0,0.0,0.0,2.1%,0.0,0.0,0.0,0.0%,0.0,10.0,WR
KhaDarel Hodge (ATL),0.0,0.0,0%,0.0,0.0,0.0,0.0%,1.0,0.0,0.0,100.0%,0.0,17.0,WR
